Agua,,,,,,,,,
,Prueba0.1,,,,Prueba0.2,,,,Prueba0.3
,,,,,,,,,
,,,,,,,,,
t[s],D[mm],,,t[s],D[mm],,,t[s],D[mm]
0,0.16,,,0,0.17,,,0,0.17
10,0.17,,,10,0.18,,,10,0.18
20,0.17,,,20,0.19,,,20,0.18
30,0.18,,,30,0.19,,,30,0.19
40,0.18,,,40,0.19,,,40,0.19
50,0.18,,,50,0.19,,,50,0.19
60,0.19,,,60,0.19,,,60,0.19
70,0.19,,,70,0.19,,,70,0.19
80,0.19,,,80,0.19,,,80,0.19
90,0.19,,,90,0.19,,,90,0.19
100,0.19,,,100,0.19,,,100,0.19
110,0.19,,,110,0.19,,,110,0.2
120,0.19,,,120,0.19,,,120,0.2
130,0.19,,,130,0.2,,,130,0.2
140,0.19,,,140,0.2,,,140,0.2
150,0.19,,,150,0.2,,,150,0.21
160,0.19,,,160,0.21,,,160,0.21
170,0.2,,,170,0.21,,,170,0.21
180,0.2,,,180,0.21,,,180,0.21
190,0.2,,,190,0.21,,,190,0.21
200,0.2,,,200,0.21,,,200,0.21
210,0.2,,,210,0.21,,,210,0.21
220,0.2,,,220,0.21,,,220,0.21
230,0.2,,,230,0.21,,,230,0.21
240,0.2,,,240,0.21,,,240,0.21
250,0.2,,,250,0.21,,,250,0.21
260,0.2,,,260,0.21,,,260,0.21
270,0.2,,,270,0.21,,,270,0.21
280,0.2,,,280,0.21,,,280,0.21
290,0.2,,,290,0.21,,,290,0.21
300,0.2,,,300,0.21,,,300,0.21
310,0.2,,,310,0.21,,,310,0.21
320,0.2,,,320,0.21,,,320,0.21
330,0.2,,,330,0.21,,,330,0.21
340,0.2,,,340,0.21,,,340,0.21
350,0.2,,,350,0.21,,,350,0.21
360,0.2,,,360,0.21,,,360,0.21
370,0.2,,,370,0.21,,,370,0.21
380,0.2,,,380,0.21,,,380,0.21
390,0.2,,,390,0.21,,,390,0.21
400,0.2,,,400,0.21,,,400,0.21
410,0.2,,,410,0.21,,,410,0.21
420,0.2,,,420,0.21,,,420,0.21
430,0.2,,,430,0.21,,,430,0.21
440,0.2,,,440,0.21,,,440,0.19
450,0.2,,,450,0.22,,,450,0.19
460,0.2,,,460,0.22,,,460,0.15
470,0.2,,,470,0.22,,,470,0.15
480,0.2,,,480,0.22,,,480,0.15
490,0.2,,,490,0.22,,,490,0.15
500,0.2,,,500,0.22,,,500,0.15
510,0.19,,,510,0.2,,,510,0.14
520,0.15,,,520,0.18,,,520,0.14
530,0,,,530,0.14,,,530,0.14
,,,,540,0.14,,,540,0.11
,,,,550,0.13,,,550,0.11
,,,,560,0.13,,,560,0.11
,,,,570,0.11,,,570,0.11
,,,,580,0.11,,,580,0.5
,,,,590,0.11,,,590,0.5
,,,,600,0.11,,,600,0
,,,,610,0.11,,,,
,,,,620,0.11,,,,
,,,,630,0,,,,
